CMDLINE /home/fcelaya/tfg-ade/venv/bin/python3 SPX_MLE_v7.py
MEM 237.097656 1707938585.2752
MEM 237.097656 1707938585.3856
MEM 237.097656 1707938585.4898
MEM 237.097656 1707938585.6021
MEM 237.097656 1707938585.7051
MEM 237.097656 1707938585.8235
MEM 237.097656 1707938585.9250
MEM 237.097656 1707938586.0261
MEM 237.097656 1707938586.1351
MEM 237.097656 1707938586.2359
MEM 237.097656 1707938586.3381
MEM 237.097656 1707938586.4465
MEM 237.097656 1707938586.5660
MEM 237.097656 1707938586.6668
MEM 237.097656 1707938586.7677
MEM 237.097656 1707938586.8687
MEM 237.097656 1707938586.9702
MEM 237.097656 1707938587.0709
MEM 237.097656 1707938587.1717
MEM 237.097656 1707938587.2727
MEM 237.503906 1707938587.3734
MEM 237.503906 1707938587.4742
MEM 237.503906 1707938587.5821
MEM 237.503906 1707938587.6832
MEM 237.503906 1707938587.7841
MEM 237.503906 1707938587.8855
MEM 237.503906 1707938587.9866
MEM 237.503906 1707938588.0894
MEM 237.503906 1707938588.1991
MEM 237.503906 1707938588.3017
MEM 237.503906 1707938588.4061
MEM 237.503906 1707938588.5068
MEM 237.503906 1707938588.6145
MEM 237.503906 1707938588.7161
MEM 237.503906 1707938588.8170
MEM 237.503906 1707938588.9179
MEM 237.503906 1707938589.0186
MEM 237.503906 1707938589.1293
MEM 237.503906 1707938589.2303
MEM 237.503906 1707938589.3420
MEM 237.503906 1707938589.4541
MEM 237.503906 1707938589.5552
MEM 237.503906 1707938589.6598
MEM 237.503906 1707938589.7617
MEM 237.503906 1707938589.8625
MEM 237.503906 1707938589.9633
MEM 237.503906 1707938590.0686
MEM 237.503906 1707938590.1696
MEM 237.503906 1707938590.2705
MEM 237.503906 1707938590.3715
MEM 237.503906 1707938590.4724
MEM 237.503906 1707938590.5781
MEM 237.503906 1707938590.6838
MEM 237.503906 1707938590.7847
MEM 237.503906 1707938590.8892
MEM 237.503906 1707938590.9904
MEM 237.503906 1707938591.0941
MEM 237.503906 1707938591.2042
MEM 237.503906 1707938591.3079
MEM 237.503906 1707938591.4160
MEM 237.503906 1707938591.5173
MEM 237.503906 1707938591.6182
MEM 237.503906 1707938591.7218
MEM 237.503906 1707938591.8227
MEM 237.503906 1707938591.9236
MEM 237.503906 1707938592.0250
MEM 237.503906 1707938592.1259
MEM 237.503906 1707938592.2272
MEM 237.503906 1707938592.3281
MEM 237.503906 1707938592.4366
MEM 237.503906 1707938592.5378
MEM 237.503906 1707938592.6386
MEM 237.503906 1707938592.7396
MEM 237.750000 1707938592.8410
MEM 237.750000 1707938592.9466
MEM 237.750000 1707938593.0474
MEM 237.750000 1707938593.1484
MEM 237.750000 1707938593.2492
MEM 237.750000 1707938593.3503
MEM 237.750000 1707938593.4544
MEM 237.750000 1707938593.5552
MEM 237.750000 1707938593.6566
MEM 237.750000 1707938593.7701
